Konsumen_SK,Konsumen_ID_Sistem,Nama_Konsumen,Email,Jenis_Kelamin,Tanggal_Lahir,Segmen_Konsumen
1,USER-001,Ahmad Fauzi,ahmad.fauzi@email.com,Laki-laki,1990-05-14,Loyal
2,USER-002,Siti Aminah,siti.aminah@email.com,Perempuan,1995-08-22,Pemburu Diskon
3,USER-003,Budi Utomo,budi.utomo@email.com,Laki-laki,1988-12-01,Jaringan Baru
4,USER-004,Rina Wijaya,rina.wijaya@email.com,Perempuan,1993-03-10,Loyal
5,USER-005,Dedi Setiawan,dedi.setiawan@email.com,Laki-laki,1991-07-19,Pemburu Diskon
6,USER-006,Mega Putri,mega.putri@email.com,Perempuan,1997-11-25,Jaringan Baru
7,USER-007,Andi Pratama,andi.pratama@email.com,Laki-laki,1985-02-28,Loyal
8,USER-008,Dewi Lestari,dewi.lestari@email.com,Perempuan,1992-09-05,Loyal
9,USER-009,Hendra Wijaya,hendra.wijaya@email.com,Laki-laki,1994-04-12,Pemburu Diskon
10,USER-010,Santi Rahmawati,santi.rahma@email.com,Perempuan,1989-06-30,Jaringan Baru
11,USER-011,Rian Hidayat,rian.hidayat@email.com,Laki-laki,1996-01-15,Loyal
12,USER-012,Eka Sari,eka.sari@email.com,Perempuan,1993-10-08,Pemburu Diskon
13,USER-013,Ferry Kurniawan,ferry.k@email.com,Laki-laki,1990-08-24,Jaringan Baru
14,USER-014,Yuni Arti,yuni.arti@email.com,Perempuan,1987-12-11,Loyal
15,USER-015,Agus Susanto,agus.s@email.com,Laki-laki,1983-05-03,Loyal
16,USER-016,Novianti,novianti@email.com,Perempuan,1995-04-17,Pemburu Diskon
17,USER-017,taufik Hidayat,taufik.h@email.com,Laki-laki,1991-11-02,Jaringan Baru
18,USER-018,Indah Permata,indah.p@email.com,Perempuan,1998-07-21,Loyal
19,USER-019,Roni Purwanto,roni.p@email.com,Laki-laki,1986-09-14,Pemburu Diskon
20,USER-020,Fitriani,fitriani@email.com,Perempuan,1992-02-26,Loyal
21,USER-021,Denny Triyugo,denny.t@email.com,Laki-laki,1994-06-05,Jaringan Baru
22,USER-022,Diana Puspita,diana.p@email.com,Perempuan,1990-03-18,Loyal
23,USER-023,Lukman Hakim,lukman.h@email.com,Laki-laki,1989-10-29,Pemburu Diskon
24,USER-024,Maya Sofa,maya.sofa@email.com,Perempuan,1996-12-12,Loyal
25,USER-025,Aditya Nugraha,aditya.n@email.com,Laki-laki,1993-01-25,Jaringan Baru
26,USER-026,Putri Kemala,putri.k@email.com,Perempuan,1991-05-09,Pemburu Diskon
27,USER-027,Rahmat Hidayat,rahmat.h@email.com,Laki-laki,1988-07-14,Loyal
28,USER-028,Wulan Dari,wulan.d@email.com,Perempuan,1995-09-23,Loyal
29,USER-029,Anwar Sadat,anwar.s@email.com,Laki-laki,1984-11-04,Jaringan Baru
30,USER-030,Kusuma Wardani,kusuma.w@email.com,Perempuan,1992-08-16,Pemburu Diskon
31,USER-031,Bambang Pamungkas,bambang.p@email.com,Laki-laki,1981-06-10,Loyal
32,USER-032,Sri Wahyuni,sri.w@email.com,Perempuan,1986-04-24,Loyal
33,USER-033,Heri Santoso,heri.s@email.com,Laki-laki,1990-02-11,Jaringan Baru
34,USER-034,Lilis Karlina,lilis.k@email.com,Perempuan,1993-10-30,Pemburu Diskon
35,USER-035,Diki Arisandi,diki.a@email.com,Laki-laki,1995-12-05,Loyal
36,USER-036,Nining Meida,nining.m@email.com,Perempuan,1989-01-19,Loyal
37,USER-037,Aris Rahman,aris.r@email.com,Laki-laki,1991-07-07,Jaringan Baru
38,USER-038,Euis Dahlia,euis.d@email.com,Perempuan,1987-03-14,Pemburu Diskon
39,USER-039,Zainal Abidin,zainal.a@email.com,Laki-laki,1985-09-27,Loyal
40,USER-040,Ratna Sari,ratna.s@email.com,Perempuan,1994-05-21,Loyal
41,USER-041,Irfan Bachdim,irfan.b@email.com,Laki-laki,1988-08-11,Jaringan Baru
42,USER-042,Siska Rahma,siska.r@email.com,Perempuan,1996-02-14,Pemburu Diskon
43,USER-043,Yudi Herdian,yudi.h@email.com,Laki-laki,1990-04-03,Loyal
44,USER-044,Desi Ratnasari,desi.r@email.com,Perempuan,1983-12-18,Loyal
45,USER-045,Sony Sugema,sony.s@email.com,Laki-laki,1989-10-09,Jaringan Baru
46,USER-046,Evie Tamala,evie.t@email.com,Perempuan,1991-06-25,Pemburu Diskon
47,USER-047,Imanuel Wanggai,imanuel.w@email.com,Laki-laki,1988-02-05,Loyal
48,USER-048,Maria Magdalena,maria.m@email.com,Perempuan,1995-07-12,Loyal
49,USER-049,Fransiskus,frans@email.com,Laki-laki,1992-03-29,Jaringan Baru
50,USER-050,Yuliana,yuliana@email.com,Perempuan,1994-11-14,Pemburu Diskon
51,USER-051,Asep Sunandar,asep.s@email.com,Laki-laki,1982-09-01,Loyal
52,USER-052,Cecep Gorbachev,cecep.g@email.com,Laki-laki,1986-10-22,Loyal
53,USER-053,Dadang Sukandar,dadang.s@email.com,Laki-laki,1990-05-17,Jaringan Baru
54,USER-054,Eneng Hasanah,eneng.h@email.com,Perempuan,1993-02-08,Pemburu Diskon
55,USER-055,Ginanjar,ginanjar@email.com,Laki-laki,1987-04-19,Loyal
56,USER-056,Hesti Purwadinata,hesti.p@email.com,Perempuan,1991-08-11,Loyal
57,USER-057,Iis Dahlia,iis.d@email.com,Perempuan,1985-12-07,Jaringan Baru
58,USER-058,Jajang Mulyana,jajang.m@email.com,Laki-laki,1989-03-23,Pemburu Diskon
59,USER-059,Komarudin,komar@email.com,Laki-laki,1994-07-16,Loyal
60,USER-060,Lilis Suryani,lilis.s@email.com,Perempuan,1996-01-30,Loyal
61,USER-061,Maman Suherman,maman.s@email.com,Laki-laki,1984-06-12,Jaringan Baru
62,USER-062,Neneng Anjarwati,neneng.a@email.com,Perempuan,1990-11-04,Pemburu Diskon
63,USER-063,Oom Komariah,oom.k@email.com,Perempuan,1988-09-25,Loyal
64,USER-064,Pipik Dian,pipik.d@email.com,Perempuan,1992-05-19,Loyal
65,USER-065,Qomar,qomar@email.com,Laki-laki,1983-02-27,Jaringan Baru
66,USER-066,Ria Irawan,ria.i@email.com,Perempuan,1995-10-15,Pemburu Diskon
67,USER-067,Sule Sutisna,sule@email.com,Laki-laki,1986-11-15,Loyal
68,USER-068,Tati Saleh,tati.s@email.com,Perempuan,1989-04-02,Loyal
69,USER-069,Uu Ruzhanul,uu.r@email.com,Laki-laki,1993-08-20,Jaringan Baru
70,USER-070,Vina Panduwinata,vina.p@email.com,Perempuan,1985-03-06,Pemburu Diskon
71,USER-071,Wawan Setiawan,wawan.s@email.com,Laki-laki,1991-12-13,Loyal
72,USER-072,Yayan Ruhian,yayan.r@email.com,Laki-laki,1982-10-19,Loyal
73,USER-073,Zaskia Gotik,zaskia.g@email.com,Perempuan,1994-04-27,Jaringan Baru
74,USER-074,Aliando,aliando@email.com,Laki-laki,1996-10-26,Pemburu Diskon
75,USER-075,Prilly Latuconsina,prilly.l@email.com,Perempuan,1996-10-15,Loyal
76,USER-076,Raffi Ahmad,raffi.a@email.com,Laki-laki,1987-02-17,Loyal
77,USER-077,Nagita Slavina,nagita.s@email.com,Perempuan,1988-02-17,Jaringan Baru
78,USER-078,Raditya Dika,raditya.d@email.com,Laki-laki,1984-12-28,Pemburu Diskon
79,USER-079,Cinta Laura,cinta.l@email.com,Perempuan,1993-08-17,Loyal
80,USER-080,Deddy Corbuzier,deddy.c@email.com,Laki-laki,1976-12-28,Loyal
81,USER-081,Anang Hermansyah,anang.h@email.com,Laki-laki,1969-03-18,Jaringan Baru
82,USER-082,Ashanty,ashanty@email.com,Perempuan,1984-11-04,Pemburu Diskon
83,USER-083,Atta Halilintar,atta.h@email.com,Laki-laki,1994-11-20,Loyal
84,USER-084,Aurel Hermansyah,aurel.h@email.com,Perempuan,1998-07-10,Loyal
85,USER-085,Baim Wong,baim.w@email.com,Laki-laki,1981-04-27,Jaringan Baru
86,USER-086,Paula Verhoeven,paula.v@email.com,Perempuan,1987-09-18,Pemburu Diskon
87,USER-087,Ria Ricis,ria.ricis@email.com,Perempuan,1995-07-26,Loyal
88,USER-088,Teuku Ryan,teuku.r@email.com,Laki-laki,1994-10-04,Loyal
89,USER-089,Lesti Kejora,lesti.k@email.com,Perempuan,1999-08-05,Jaringan Baru
